                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77744,                    0.6,                      1,                 0.7277,                      0,                      0,                      0
                      2,                0.82382,                    0.6,                      1,                0.73048,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                0.78446,                    0.6,                      1,                0.72935,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                0.75475,                    0.6,                      1,                0.72293,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                0.77692,                    0.6,                      1,                0.71604,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                0.70301,                    0.6,                      1,                0.70585,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                0.74234,                    0.6,                      1,                0.69295,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                0.71368,                    0.6,                      1,                0.67789,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                0.67021,                    0.6,                      1,                0.66294,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                0.66361,                0.73333,                      1,                 0.6449,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                0.64422,                0.73333,                      1,                0.62497,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                0.54403,                    0.8,                      1,                0.60404,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                0.52917,                    0.8,                      1,                0.58155,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                 0.5127,                0.86667,                      1,                0.55923,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                0.45589,                0.86667,                      1,                0.53737,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                0.41863,                0.93333,                      1,                0.51622,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                0.39503,                0.93333,                      1,                0.49592,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                0.36781,                0.93333,                      1,                0.49592,             0.00010095,             0.00010095,             0.00010095
                     19,                0.41067,                0.93333,                      1,                0.47458,             0.00010562,             0.00010562,             0.00010562
                     20,                0.32531,                0.93333,                      1,                0.47458,             0.00011014,             0.00011014,             0.00011014
                     21,                0.31575,                      1,                      1,                0.45246,             0.00011453,             0.00011453,             0.00011453
                     22,                 0.2935,                      1,                      1,                0.45246,             0.00011877,             0.00011877,             0.00011877
                     23,                0.31072,                      1,                      1,                0.43389,             0.00012287,             0.00012287,             0.00012287
                     24,                0.26797,                      1,                      1,                0.43389,             0.00012683,             0.00012683,             0.00012683
                     25,                 0.2665,                      1,                      1,                0.41521,             0.00013064,             0.00013064,             0.00013064
                     26,                0.29906,                      1,                      1,                0.41521,             0.00013432,             0.00013432,             0.00013432
                     27,                0.25906,                      1,                      1,                0.39823,             0.00013786,             0.00013786,             0.00013786
                     28,                0.19418,                      1,                      1,                0.39823,             0.00014125,             0.00014125,             0.00014125
                     29,                0.20638,                      1,                      1,                0.38234,              0.0001445,              0.0001445,              0.0001445
                     30,                0.18307,                      1,                      1,                0.38234,             0.00014761,             0.00014761,             0.00014761
                     31,                0.19865,                      1,                      1,                0.36904,             0.00015058,             0.00015058,             0.00015058
                     32,                0.15538,                      1,                      1,                0.36904,             0.00015341,             0.00015341,             0.00015341
                     33,                0.15545,                      1,                      1,                  0.359,              0.0001561,              0.0001561,              0.0001561
                     34,                   0.13,                      1,                      1,                  0.359,             0.00015864,             0.00015864,             0.00015864
                     35,                0.13816,                      1,                      1,                0.34948,             0.00016105,             0.00016105,             0.00016105
                     36,                0.10873,                      1,                      1,                0.34948,             0.00016331,             0.00016331,             0.00016331
                     37,                0.11814,                      1,                      1,                0.34231,             0.00016543,             0.00016543,             0.00016543
                     38,                0.09228,                      1,                      1,                0.34231,             0.00016741,             0.00016741,             0.00016741
                     39,                 0.1156,                      1,                      1,                0.33655,             0.00016925,             0.00016925,             0.00016925
                     40,                0.08528,                      1,                      1,                0.33655,             0.00017095,             0.00017095,             0.00017095
                     41,                0.08335,                      1,                      1,                0.33206,              0.0001725,              0.0001725,              0.0001725
                     42,                0.06508,                      1,                      1,                0.33206,             0.00017392,             0.00017392,             0.00017392
                     43,                0.07094,                      1,                      1,                0.32875,             0.00017519,             0.00017519,             0.00017519
                     44,                0.06836,                      1,                      1,                0.32875,             0.00017632,             0.00017632,             0.00017632
                     45,                0.05708,                      1,                      1,                0.32593,             0.00017731,             0.00017731,             0.00017731
                     46,                0.05331,                      1,                      1,                0.32593,             0.00017816,             0.00017816,             0.00017816
                     47,                0.04357,                      1,                      1,                0.32369,             0.00017887,             0.00017887,             0.00017887
                     48,                0.03501,                      1,                      1,                0.32369,             0.00017943,             0.00017943,             0.00017943
                     49,                0.04135,                      1,                      1,                0.32193,             0.00017986,             0.00017986,             0.00017986
                     50,                0.03628,                      1,                      1,                0.32193,             0.00018014,             0.00018014,             0.00018014
                     51,                0.03517,                      1,                      1,                0.32049,             0.00018028,             0.00018028,             0.00018028
                     52,                0.03084,                      1,                      1,                0.32049,             0.00018029,             0.00018029,             0.00018029
                     53,                0.02922,                      1,                      1,                0.32049,             0.00018015,             0.00018015,             0.00018015
                     54,                 0.0364,                      1,                      1,                 0.3195,             0.00017986,             0.00017986,             0.00017986
                     55,                0.02383,                      1,                      1,                 0.3195,             0.00017944,             0.00017944,             0.00017944
                     56,                0.02656,                      1,                      1,                 0.3195,             0.00017887,             0.00017887,             0.00017887
                     57,                0.03842,                      1,                      1,                0.31854,             0.00017817,             0.00017817,             0.00017817
                     58,                0.03638,                      1,                      1,                0.31854,             0.00017732,             0.00017732,             0.00017732
                     59,                0.02754,                      1,                      1,                0.31854,             0.00017633,             0.00017633,             0.00017633
                     60,                 0.0262,                      1,                      1,                 0.3178,              0.0001752,              0.0001752,              0.0001752
                     61,                0.04056,                      1,                      1,                 0.3178,             0.00017393,             0.00017393,             0.00017393
                     62,                0.02117,                      1,                      1,                 0.3178,             0.00017252,             0.00017252,             0.00017252
                     63,                0.01913,                      1,                      1,                0.31711,             0.00017096,             0.00017096,             0.00017096
                     64,                0.01934,                      1,                      1,                0.31711,             0.00016927,             0.00016927,             0.00016927
                     65,                0.02375,                      1,                      1,                0.31711,             0.00016743,             0.00016743,             0.00016743
                     66,                0.01846,                      1,                      1,                0.31682,             0.00016545,             0.00016545,             0.00016545
                     67,                0.01924,                      1,                      1,                0.31682,             0.00016333,             0.00016333,             0.00016333
                     68,                0.01663,                      1,                      1,                0.31682,             0.00016107,             0.00016107,             0.00016107
                     69,                0.01451,                      1,                      1,                0.31648,             0.00015867,             0.00015867,             0.00015867
                     70,                0.02087,                      1,                      1,                0.31648,             0.00015612,             0.00015612,             0.00015612
                     71,                0.02485,                      1,                      1,                0.31648,             0.00015344,             0.00015344,             0.00015344
                     72,                0.01834,                      1,                      1,                0.31622,             0.00015061,             0.00015061,             0.00015061
                     73,                 0.0154,                      1,                      1,                0.31622,             0.00014764,             0.00014764,             0.00014764
                     74,                0.01446,                      1,                      1,                0.31622,             0.00014453,             0.00014453,             0.00014453
                     75,                0.01437,                      1,                      1,                0.31602,             0.00014128,             0.00014128,             0.00014128
                     76,                0.01637,                      1,                      1,                0.31602,             0.00013789,             0.00013789,             0.00013789
                     77,                0.01447,                      1,                      1,                0.31602,             0.00013436,             0.00013436,             0.00013436
                     78,                0.01137,                      1,                      1,                0.31578,             0.00013068,             0.00013068,             0.00013068
                     79,                0.01215,                      1,                      1,                0.31578,             0.00012687,             0.00012687,             0.00012687
                     80,                0.00949,                      1,                      1,                0.31578,             0.00012291,             0.00012291,             0.00012291
                     81,                0.01521,                      1,                      1,                0.31561,             0.00011881,             0.00011881,             0.00011881
                     82,                0.01816,                      1,                      1,                0.31561,             0.00011457,             0.00011457,             0.00011457
                     83,                 0.0137,                      1,                      1,                0.31561,             0.00011019,             0.00011019,             0.00011019
                     84,                 0.0157,                      1,                      1,                0.31542,             0.00010566,             0.00010566,             0.00010566
                     85,                0.01523,                      1,                      1,                0.31542,               0.000101,               0.000101,               0.000101
                     86,                0.01557,                      1,                      1,                0.31542,             9.6194e-05,             9.6194e-05,             9.6194e-05
                     87,                0.01142,                      1,                      1,                0.31542,             9.1246e-05,             9.1246e-05,             9.1246e-05
                     88,                0.02411,                      1,                      1,                 0.3153,             8.6158e-05,             8.6158e-05,             8.6158e-05
                     89,                0.01185,                      1,                      1,                 0.3153,             8.0928e-05,             8.0928e-05,             8.0928e-05
                     90,                 0.0098,                      1,                      1,                 0.3153,             7.5556e-05,             7.5556e-05,             7.5556e-05
                     91,                 0.0086,                      1,                      1,                 0.3153,             7.0043e-05,             7.0043e-05,             7.0043e-05
                     92,                0.01307,                      1,                      1,                0.31526,             6.4389e-05,             6.4389e-05,             6.4389e-05
                     93,                 0.0128,                      1,                      1,                0.31526,             5.8594e-05,             5.8594e-05,             5.8594e-05
                     94,                0.01184,                      1,                      1,                0.31526,             5.2657e-05,             5.2657e-05,             5.2657e-05
                     95,                0.01303,                      1,                      1,                0.31526,             4.6579e-05,             4.6579e-05,             4.6579e-05
                     96,                0.01071,                      1,                      1,                0.31519,             4.0359e-05,             4.0359e-05,             4.0359e-05
                     97,                 0.0123,                      1,                      1,                0.31519,             3.3998e-05,             3.3998e-05,             3.3998e-05
                     98,                0.00918,                      1,                      1,                0.31519,             2.7495e-05,             2.7495e-05,             2.7495e-05
                     99,                0.00921,                      1,                      1,                0.31519,             2.0852e-05,             2.0852e-05,             2.0852e-05
                    100,                0.00759,                      1,                      1,                0.31522,             1.4067e-05,             1.4067e-05,             1.4067e-05
